City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
316,gadzhiyevo,69.2551,33.3362,286.11,71,67,5.67,RU,1724372059
317,puerto deseado,-47.7503,-65.8938,278.43,76,100,3.06,AR,1724372060
318,rio grande,-32.035,-52.0986,286.03,91,100,5.6,BR,1724371815
319,port glaud,-32.035,-52.0986,286.03,91,100,5.6,BR,1724371815
320,kuta,-8.7233,115.1723,299.12,94,20,2.06,ID,1724372064
321,tsiombe,-25.3,45.4833,290.76,80,0,1.8,MG,1724372065
322,mogadishu,2.0371,45.3438,297.92,84,100,8.94,SO,1724371923
323,greymouth,-42.4667,171.2,285.02,97,100,7.55,NZ,1724371981
324,an nuhud,12.7,28.4333,296.61,78,83,5.38,SD,1724371814
325,essex,40.7834,-74.2163,295.69,60,0,2.57,US,1724372070
326,nuuk,64.1835,-51.7216,278.49,87,100,3.6,GL,1724371920
327,caluula,11.9661,50.7569,302.28,61,66,2.28,SO,1724372073
328,sultanah,24.4926,39.5857,306.4,35,40,3.09,SA,1724372074
329,puerto lempira,15.2667,-83.7667,302.23,79,40,2.57,HN,1724372076
330,pio duran,13.0293,123.445,301.07,80,100,1.52,PH,1724372077
331,keflavik,64.0049,-22.5624,279.39,81,75,13.38,IS,1724372078
332,trinity beach,-16.7888,145.6968,299.85,78,100,6.47,AU,1724372080
333,kayangel,8.0823,134.7173,302.39,74,69,4.89,PW,1724372081
334,ghat,24.9647,10.1728,305.74,28,3,2.63,LY,1724372082
335,dakhla,23.6848,-15.958,294.47,82,48,9.06,EH,1724372084
336,alotau,-10.3069,150.4462,299.59,93,97,2.99,PG,1724372085
337,kapa'a,22.0752,-159.319,302.33,67,75,6.17,US,1724372086
338,kirensk,57.7853,108.1119,289.97,70,48,1.05,RU,1724372087
339,port moresby,-9.4431,147.1797,299.54,83,97,1.61,PG,1724371905
340,kanniyakumari,8.0833,77.5667,298.7,87,100,6.01,IN,1724372090
341,san juan de miraflores,-12.1629,-76.9635,288.8,86,86,4.09,PE,1724372091
342,eldorado at santa fe,35.5264,-105.9347,303.12,29,0,12.35,US,1724372093
343,masterton,-40.9597,175.6575,286.03,69,85,5.07,NZ,1724372094
344,mao,39.8885,4.2658,298.46,83,0,2.57,ES,1724372096
345,laojunmiao,39.8333,97.7333,292.47,40,77,0.94,CN,1724372097
346,checy,47.894,2.023,289.27,83,100,2.98,FR,1724372098
347,uturoa,-16.7333,-151.4333,298.4,74,41,8.53,PF,1724372099
348,pasto,1.2136,-77.2811,284.41,86,72,2.63,CO,1724372093
349,victorica,-36.2151,-65.4359,281.11,47,20,2.5,AR,1724372102
350,kuqa,41.7278,82.9364,297.62,40,100,2.55,CN,1724372103
351,raduzhny,62.0961,77.475,286.02,70,92,1.2,RU,1724372105
352,bodaybo,57.8506,114.1933,291.4,72,77,0.87,RU,1724372106
353,bargara,57.8506,114.1933,291.4,72,77,0.87,RU,1724372106
354,port elizabeth,-33.918,25.5701,286.31,81,0,11.32,ZA,1724372109
355,thompson,55.7433,-97.8635,291.25,94,100,3.09,CA,1724371559
356,touros,-5.1989,-35.4608,297.85,78,17,6.4,BR,1724372111
357,cidreira,-30.1811,-50.2056,289.7,93,99,2.31,BR,1724372113
358,mount isa,-20.7333,139.5,300.02,32,1,4.63,AU,1724372114
359,fort st. john,56.2499,-120.8529,296.8,33,66,6.19,CA,1724371902
360,altdorf,49.3875,11.3572,285.33,87,1,1.94,DE,1724372117
361,mo i rana,66.3128,14.1428,289.41,79,100,3.13,NO,1724372118
